year,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies_pct,covered_agencies,covered_pct,total_population,nibrs_population,state
1967,709,134,0.19,0,0,0,0,3189000,0,KY
1967,314,85,0.27,0,0,0,0,3914752,0,LA
1967,511,212,0.41,0,0,0,0,5440839,0,MA
1967,213,51,0.24,0,0,0,0,3780814,0,MD
1967,260,83,0.32,0,0,0,0,991397,0,ME
1967,874,264,0.30,0,0,0,0,8628666,0,MI
1967,485,206,0.42,0,0,3,0.01,3616375,0,MN
1967,727,193,0.27,0,0,0,0,4684707,0,MO
1967,258,59,0.23,0,0,0,0,2352244,0,MS
1967,148,80,0.54,0,0,0,0,704390,0,MT
1967,342,115,0.34,0,0,0,0,1438433,0,NE
1967,827,148,0.18,0,0,0,0,5033679,0,NC
1967,144,61,0.42,0,0,0,0,639000,0,ND
1967,259,44,0.17,0,0,0,0,686000,0,NH
1967,658,400,0.61,0,0,0,0,7073221,0,NJ
1967,164,66,0.40,0,0,0,0,1050847,0,NM
1967,79,22,0.28,0,0,0,0,448472,0,NV
1967,1256,361,0.29,0,0,1,0.00,19261058,0,NY
1967,932,349,0.37,0,0,0,0,10479140,0,OH
1967,498,135,0.27,0,0,0,0,2549867,0,OK
1967,305,102,0.33,0,0,1,0.01,2002340,0,OR
1967,1903,488,0.26,0,0,2,0.00,11786016,0,PA
1967,25,0,0,0,0,0,0,2697000,0,NA
1967,64,31,0.48,0,0,0,0,922614,0,RI
1967,572,66,0.12,0,0,0,0,2654493,0,SC
1967,192,81,0.42,0,0,0,0,680336,0,SD
1967,606,90,0.15,0,0,0,0,3938713,0,TN
1967,1265,400,0.32,0,0,1,0.00,11132175,0,TX
1967,199,57,0.29,0,0,0,0,1053866,0,UT
1967,3,0,0,0,0,0,0,0,0,NA
1967,492,128,0.26,0,0,0,0,4581734,0,VA
1967,105,27,0.26,0,0,0,0,417000,0,VT
1967,328,110,0.34,0,0,1,0.01,3108913,0,WA
1967,489,191,0.39,0,0,0,0,4212202,0,WI
1967,542,60,0.11,0,0,0,0,1802434,0,WV
1967,89,38,0.43,0,0,0,0,315000,0,WY
1967,1,0,0,0,0,0,0,0,0,NA
1967,0,0,0,0,0,0,0,0,0,NA
1968,55,7,0.13,0,0,0,0,277000,0,AK
1968,488,94,0.19,0,0,0,0,3670070,0,AL
1968,346,73,0.21,0,0,0,0,2050883,0,AR
1968,1,0,0,0,0,0,0,0,0,NA
1968,173,46,0.27,0,0,0,0,1684883,0,AZ
1968,931,451,0.48,0,0,2,0.00,20157325,0,CA
1968,321,102,0.32,0,0,0,0,2107541,0,CO
1968,129,76,0.59,0,0,0,0,3077500,0,CT
1968,1,0,0,0,0,0,0,55600,0,NA
1968,3,1,0.33,0,0,0,0,809000,0,DC
1968,84,13,0.15,0,0,0,0,541987,0,DE
1968,1219,169,0.14,0,0,0,0,6301242,0,FL
1968,825,113,0.14,0,0,0,0,4673214,0,GA
1968,3,1,0.33,0,0,0,0,94000,0,NA
1968,18,7,0.39,0,0,0,0,784085,0,HI
1968,283,174,0.61,0,0,0,0,2761565,0,IA
1968,152,69,0.45,0,0,0,0,709518,0,ID
1968,1186,370,0.31,0,0,1,0.00,11051444,0,IL
1968,414,222,0.54,0,0,0,0,5077215,0,IN
1968,473,182,0.38,0,0,1,0.01,2324380,0,KS
