year,state,governor,party
1902-01-01,WV,Albert Blakeslee White,Republican
1902-01-01,WI,Robert M. La Follette,Republican
1902-01-01,WY,De Forest Richards,Republican
1901-01-01,AL,William Dorsey Jelks,Democrat
1901-01-01,AR,Jefferson Davis,Democrat
1901-01-01,CA,Henry Tifft Gage,Republican
1901-01-01,CO,James Bradley Orman,Democrat
1901-01-01,CT,George Payne McLean,Republican
1901-01-01,DE,John Hunn,Republican
1901-01-01,FL,William Sherman Jennings,Democrat
1901-01-01,GA,Allen D. Candler,Democrat
1901-01-01,ID,Frank W. Hunt,Democrat
1901-01-01,IL,Richard Yates,Republican
1901-01-01,IN,Winfield Taylor Durbin,Republican
1901-01-01,IA,Leslie Mortier Shaw,Republican
1901-01-01,KS,William Eugene Stanley,Republican
1901-01-01,KY,John Crepps Wickliffe Beckham,Democratic
1901-01-01,LA,William Wright Heard,Democrat
1901-01-01,ME,John Fremont Hill,Republican
1901-01-01,MD,John Walter Smith,Democrat
1901-01-01,MA,Winthrop Murray Crane,Republican
1901-01-01,MI,Aaron Thomas Bliss,Republican
1901-01-01,MN,Samuel Rinnah Van Sant,Republican
1901-01-01,MS,Andrew Houston Longino,Democratic
1901-01-01,MO,Alexander Monroe Dockery,Democratic
1901-01-01,MT,Joseph Kemp Toole,Democratic
1901-01-01,NE,Ezra Perin Savage,Republican
1901-01-01,NV,Reinhold Sadler,Silver
1901-01-01,NH,Chester Bradley Jordan,Republican
1901-01-01,NJ,Foster McGowan Voorhees,Republican
1901-01-01,NY,Benjamin Baker Odell,Republican
1901-01-01,NC,Charles Brantley Aycock,Democratic
1901-01-01,ND,Frank White,Republican
1901-01-01,OH,George Kilbon Nash,Republican
1901-01-01,OR,Theodore T. Geer,Republican
1901-01-01,PA,William Alexis Stone,Republican
1901-01-01,RI,Charles Dean Kimball,Republican
1901-01-01,SC,Miles Benjamin McSweeney,Democrat
1901-01-01,SD,Charles N. Herreid,Republican
1901-01-01,TN,Benton McMillin,Democrat
1901-01-01,TX,Joseph Draper Sayers,Democrat
1901-01-01,UT,Heber Manning Wells,Republican
1901-01-01,VT,William W. Stickney,Republican
1901-01-01,VA,James Hoge Tyler,Democrat
1901-01-01,WA,Henry McBride,Republican
1901-01-01,WV,Albert Blakeslee White,Republican
1901-01-01,WI,Robert M. La Follette,Republican
1901-01-01,WY,De Forest Richards,Republican
1900-01-01,AL,William James Samford,Democrat
1900-01-01,AR,Daniel Webster Jones,Democrat
1900-01-01,CA,Henry Tifft Gage,Republican
1900-01-01,CO,Charles Spalding Thomas,Democrat
1900-01-01,CT,George Edward Lounsbury,Republican
1900-01-01,DE,Ebe Walter Tunnell,Democrat
1900-01-01,FL,William Dunnington Bloxham,Democrat
1900-01-01,GA,Allen D. Candler,Democrat
1900-01-01,ID,Frank Steunenberg,Democrat
1900-01-01,IL,John Riley Tanner,Republican
1900-01-01,IN,James Atwell Mount,Republican
1900-01-01,IA,Leslie Mortier Shaw,Republican
1900-01-01,KS,William Eugene Stanley,Republican
1900-01-01,KY,John Crepps Wickliffe Beckham,Democratic
1900-01-01,LA,William Wright Heard,Democrat
1900-01-01,ME,Llewellyn Powers,Republican
1900-01-01,MD,John Walter Smith,Democrat
1900-01-01,MA,Winthrop Murray Crane,Republican
1900-01-01,MI,Hazen Stuart Pingree,Republican
1900-01-01,MN,John Lind,Democratic
1900-01-01,MS,Andrew Houston Longino,Democratic
1900-01-01,MO,Lawrence Vest Stephens,Democratic
1900-01-01,MT,Robert Burns Smith,Democratic-Populist
1900-01-01,NE,William Amos Poynter,Populist
1900-01-01,NV,Reinhold Sadler,Silver
1900-01-01,NH,Frank West Rollins,Republican
1900-01-01,NJ,Foster McGowan Voorhees,Republican
1900-01-01,NY,Theodore Roosevelt,Republican
1900-01-01,NC,Daniel Lindsay Russell,Republican
1900-01-01,ND,Frederick Bartlett Fancher,Republican
1900-01-01,OH,George Kilbon Nash,Republican
1900-01-01,OR,Theodore T. Geer,Republican
1900-01-01,PA,William Alexis Stone,Republican
1900-01-01,RI,William Gregory,Republican
1900-01-01,SC,Miles Benjamin McSweeney,Democrat
1900-01-01,SD,Andrew Ericson Lee,People's Party (first term) and Fusion Party (second term)
1900-01-01,TN,Benton McMillin,Democrat
1900-01-01,TX,Joseph Draper Sayers,Democrat
1900-01-01,UT,Heber Manning Wells,Republican
1900-01-01,VT,William W. Stickney,Republican
1900-01-01,VA,James Hoge Tyler,Democrat
1900-01-01,WA,John Rankin Rogers,Populist (first term); Democrat (second term)
1900-01-01,WV,George Wesley Atkinson,Republican
1900-01-01,WI,Edward Scofield,Republican
1900-01-01,WY,De Forest Richards,Republican
1899-01-01,AL,Joseph Forney Johnston,Democrat
1899-01-01,AR,Daniel Webster Jones,Democrat
1899-01-01,CA,Henry Tifft Gage,Republican
1899-01-01,CO,Charles Spalding Thomas,Democrat
1899-01-01,CT,George Edward Lounsbury,Republican
1899-01-01,DE,Ebe Walter Tunnell,Democrat
1899-01-01,FL,William Dunnington Bloxham,Democrat
1899-01-01,GA,Allen D. Candler,Democrat
1899-01-01,ID,Frank Steunenberg,Democrat
1899-01-01,IL,John Riley Tanner,Republican
1899-01-01,IN,James Atwell Mount,Republican
1899-01-01,IA,Leslie Mortier Shaw,Republican
1899-01-01,KS,William Eugene Stanley,Republican
1899-01-01,KY,William Sylvester Taylor,Republican
1899-01-01,LA,Murphy James Foster,Democrat
1899-01-01,ME,Llewellyn Powers,Republican
1899-01-01,MD,Lloyd Lowndes,Republican
1899-01-01,MA,Roger Wolcott,Republican
1899-01-01,MI,Hazen Stuart Pingree,Republican
1899-01-01,MN,John Lind,Democratic
1899-01-01,MS,Anselm McLaurin,Democratic
1899-01-01,MO,Lawrence Vest Stephens,Democratic
1899-01-01,MT,Robert Burns Smith,Democratic-Populist
1899-01-01,NE,William Amos Poynter,Populist
1899-01-01,NV,Reinhold Sadler,Silver
1899-01-01,NH,Frank West Rollins,Republican
1899-01-01,NJ,Foster McGowan Voorhees,Republican
1899-01-01,NY,Theodore Roosevelt,Republican
1899-01-01,NC,Daniel Lindsay Russell,Republican
1899-01-01,ND,Frederick Bartlett Fancher,Republican
1899-01-01,OH,Asa Smith Bushnell,Republican
1899-01-01,OR,Theodore T. Geer,Republican
1899-01-01,PA,William Alexis Stone,Republican
1899-01-01,RI,Elisha Dyer,Republican
1899-01-01,SC,Miles Benjamin McSweeney,Democrat
1899-01-01,SD,Andrew Ericson Lee,People's Party (first term) and Fusion Party (second term)
1899-01-01,TN,Benton McMillin,Democrat
1899-01-01,TX,Joseph Draper Sayers,Democrat
1899-01-01,UT,Heber Manning Wells,Republican
1899-01-01,VT,Edward Curtis Smith,Republican
1899-01-01,VA,James Hoge Tyler,Democrat
1899-01-01,WA,John Rankin Rogers,Populist (first term); Democrat (second term)
1899-01-01,WV,George Wesley Atkinson,Republican
1899-01-01,WI,Edward Scofield,Republican
1899-01-01,WY,De Forest Richards,Republican
1898-01-01,AL,Joseph Forney Johnston,Democrat
1898-01-01,AR,Daniel Webster Jones,Democrat
1898-01-01,CA,James Herbert Budd,Democrat
1898-01-01,CO,Alva Adams,Democrat
1898-01-01,CT,Lorrin Alamson Cooke,Republican
1898-01-01,DE,Ebe Walter Tunnell,Democrat
1898-01-01,FL,William Dunnington Bloxham,Democrat
1898-01-01,GA,Allen D. Candler,Democrat
1898-01-01,ID,Frank Steunenberg,Democrat
1898-01-01,IL,John Riley Tanner,Republican
1898-01-01,IN,James Atwell Mount,Republican
1898-01-01,IA,Leslie Mortier Shaw,Republican
1898-01-01,KS,John Whitnah Leedy,Populist
1898-01-01,KY,William O. Bradley,Republican
1898-01-01,LA,Murphy James Foster,Democrat
1898-01-01,ME,Llewellyn Powers,Republican
1898-01-01,MD,Lloyd Lowndes,Republican
1898-01-01,MA,Roger Wolcott,Republican
1898-01-01,MI,Hazen Stuart Pingree,Republican
1898-01-01,MN,David Marston Clough,Republican
1898-01-01,MS,Anselm McLaurin,Democratic
1898-01-01,MO,Lawrence Vest Stephens,Democratic
1898-01-01,MT,Robert Burns Smith,Democratic-Populist
1898-01-01,NE,Silas Alexander Holcomb,Populist
1898-01-01,NV,Reinhold Sadler,Silver
1898-01-01,NH,George Ramsdell,Republican
1898-01-01,NJ,David Ogden Watkins,Republican
1898-01-01,NY,Frank Swett Black,Republican
1898-01-01,NC,Daniel Lindsay Russell,Republican
1898-01-01,ND,Joseph McMurray Devine,Republican
1898-01-01,OH,Asa Smith Bushnell,Republican
1898-01-01,OR,William Paine Lord,Republican
1898-01-01,PA,Daniel Hartman Hastings,Republican
1898-01-01,RI,Elisha Dyer,Republican
1898-01-01,SC,William Haselden Ellerbe,Democrat
1898-01-01,SD,Andrew Ericson Lee,People's Party (first term) and Fusion Party (second term)
1898-01-01,TN,Robert Love Taylor,Democrat
1898-01-01,TX,Charles Allen Culberson,Democrat
1898-01-01,UT,Heber Manning Wells,Republican
1898-01-01,VT,Edward Curtis Smith,Republican
1898-01-01,VA,James Hoge Tyler,Democrat
1898-01-01,WA,John Rankin Rogers,Populist (first term); Democrat (second term)
1898-01-01,WV,George Wesley Atkinson,Republican
1898-01-01,WI,Edward Scofield,Republican
1898-01-01,WY,William Alford Richards,Republican
1897-01-01,AL,Joseph Forney Johnston,Democrat
1897-01-01,AR,Daniel Webster Jones,Democrat
1897-01-01,CA,James Herbert Budd,Democrat
1897-01-01,CO,Alva Adams,Democrat
1897-01-01,CT,Lorrin Alamson Cooke,Republican
1897-01-01,DE,Ebe Walter Tunnell,Democrat
1897-01-01,FL,William Dunnington Bloxham,Democrat
1897-01-01,GA,William Yates Atkinson,Democrat
1897-01-01,ID,Frank Steunenberg,Democrat
1897-01-01,IL,John Riley Tanner,Republican
1897-01-01,IN,James Atwell Mount,Republican
1897-01-01,IA,Francis Marion Drake,Republican
1897-01-01,KS,John Whitnah Leedy,Populist
1897-01-01,KY,William O. Bradley,Republican
1897-01-01,LA,Murphy James Foster,Democrat
1897-01-01,ME,Llewellyn Powers,Republican
1897-01-01,MD,Lloyd Lowndes,Republican
1897-01-01,MA,Roger Wolcott,Republican
1897-01-01,MI,Hazen Stuart Pingree,Republican
1897-01-01,MN,David Marston Clough,Republican
1897-01-01,MS,Anselm McLaurin,Democratic
1897-01-01,MO,Lawrence Vest Stephens,Democratic
1897-01-01,MT,Robert Burns Smith,Democratic-Populist
1897-01-01,NE,Silas Alexander Holcomb,Populist
1897-01-01,NV,Reinhold Sadler,Silver
1897-01-01,NH,George Ramsdell,Republican
1897-01-01,NJ,John William Griggs,Republican
1897-01-01,NY,Frank Swett Black,Republican
1897-01-01,NC,Daniel Lindsay Russell,Republican
1897-01-01,ND,Frank Arlington Briggs,Republican
1897-01-01,OH,Asa Smith Bushnell,Republican
1897-01-01,OR,William Paine Lord,Republican
1897-01-01,PA,Daniel Hartman Hastings,Republican
1897-01-01,RI,Elisha Dyer,Republican
1897-01-01,SC,William Haselden Ellerbe,Democrat
1897-01-01,SD,Andrew Ericson Lee,People's Party (first term) and Fusion Party (second term)
1897-01-01,TN,Robert Love Taylor,Democrat
1897-01-01,TX,Charles Allen Culberson,Democrat
1897-01-01,UT,Heber Manning Wells,Republican
1897-01-01,VT,Josiah Grout,Republican
1897-01-01,VA,Charles Triplett O'Ferrall,Democrat
1897-01-01,WA,John Rankin Rogers,Populist (first term); Democrat (second term)
1897-01-01,WV,George Wesley Atkinson,Republican
1897-01-01,WI,Edward Scofield,Republican
1897-01-01,WY,William Alford Richards,Republican
1896-01-01,AL,Joseph Forney Johnston,Democrat
1896-01-01,AR,James Paul Clarke,Democrat
1896-01-01,CA,James Herbert Budd,Democrat
1896-01-01,CO,Albert Wills McIntire,Republican
1896-01-01,CT,Owen Vincent Coffin,Republican
1896-01-01,DE,William Tharp Watson,Democrat
1896-01-01,FL,Henry Laurens Mitchell,Democrat
1896-01-01,GA,William Yates Atkinson,Democrat
1896-01-01,ID,William John McConnell,Republican
1896-01-01,IL,John Peter Altgeld,Democrat
1896-01-01,IN,Claude Matthews,Democrat
1896-01-01,IA,Francis Marion Drake,Republican
1896-01-01,KS,Edmund Needham Morrill,Republican
1896-01-01,KY,William O. Bradley,Republican
1896-01-01,LA,Murphy James Foster,Democrat
1896-01-01,ME,Henry B. Cleaves,Republican
1896-01-01,MD,Lloyd Lowndes,Republican
1896-01-01,MA,Roger Wolcott,Republican
1896-01-01,MI,John Tyler Rich,Republican
1896-01-01,MN,David Marston Clough,Republican
1896-01-01,MS,Anselm McLaurin,Democratic
1896-01-01,MO,William Joel Stone,Democratic
1896-01-01,MT,John Ezra Rickards,Republican
1896-01-01,NE,Silas Alexander Holcomb,Populist
1896-01-01,NV,Reinhold Sadler,Silver
1896-01-01,NH,Charles Albert Busiel,Republican
1896-01-01,NJ,John William Griggs,Republican
1896-01-01,NC,Elias Carr,Democratic
1896-01-01,ND,Roger Allin,Republican
1896-01-01,OH,Asa Smith Bushnell,Republican
1896-01-01,OR,William Paine Lord,Republican
1896-01-01,PA,Daniel Hartman Hastings,Republican
1896-01-01,RI,Charles Warren Lippitt,Republican
1896-01-01,SC,John Gary Evans,Democrat
1896-01-01,SD,Charles Henry Sheldon,Republican
1896-01-01,TN,Peter Turney,Democrat
1896-01-01,TX,Charles Allen Culberson,Democrat
1896-01-01,UT,Heber Manning Wells,Republican
1896-01-01,VT,Josiah Grout,Republican
1896-01-01,VA,Charles Triplett O'Ferrall,Democrat
1896-01-01,WA,John Harte McGraw,Republican
1896-01-01,WV,William Alexander MacCorkle,Democrat
1896-01-01,WI,William H. Upham,Republican
1896-01-01,WY,William Alford Richards,Republican
1895-01-01,AL,William Calvin Oates,Democrat
1895-01-01,AR,James Paul Clarke,Democrat
1895-01-01,CA,James Herbert Budd,Democrat
1895-01-01,CO,Albert Wills McIntire,Republican
1895-01-01,CT,Owen Vincent Coffin,Republican
1895-01-01,DE,William Tharp Watson,Democrat
1895-01-01,FL,Henry Laurens Mitchell,Democrat
1895-01-01,GA,William Yates Atkinson,Democrat
1895-01-01,ID,William John McConnell,Republican
1895-01-01,IL,John Peter Altgeld,Democrat
1895-01-01,IN,Claude Matthews,Democrat
1895-01-01,IA,Frank Darr Jackson,Republican
1895-01-01,KS,Edmund Needham Morrill,Republican
1895-01-01,KY,William O. Bradley,Republican
1895-01-01,LA,Murphy James Foster,Democrat
1895-01-01,ME,Henry B. Cleaves,Republican
1895-01-01,MD,Frank Brown,Democrat
1895-01-01,MA,Frederic Thomas Greenhalge,Republican
1895-01-01,MI,John Tyler Rich,Republican
1895-01-01,MN,David Marston Clough,Republican
1895-01-01,MS,John Marshall Stone,Democratic
1895-01-01,MO,William Joel Stone,Democratic
1895-01-01,MT,John Ezra Rickards,Republican
1895-01-01,NE,Silas Alexander Holcomb,Populist
1895-01-01,NV,John Edward Jones,Silver
1895-01-01,NH,Charles Albert Busiel,Republican
1895-01-01,NJ,George Theodore Werts,Democratic
1895-01-01,NY,Roswell Pettibone Flower,Democratic
1895-01-01,NC,Elias Carr,Democratic
1895-01-01,ND,Roger Allin,Republican
1895-01-01,OH,William McKinley,Republican
1895-01-01,OR,William Paine Lord,Republican
1895-01-01,PA,Daniel Hartman Hastings,Republican
1895-01-01,RI,Charles Warren Lippitt,Republican
1895-01-01,SC,John Gary Evans,Democrat
1895-01-01,SD,Charles Henry Sheldon,Republican
1895-01-01,TN,Peter Turney,Democrat
1895-01-01,TX,Charles Allen Culberson,Democrat
1895-01-01,VT,Urban Andrain Woodbury,Republican
1895-01-01,VA,Charles Triplett O'Ferrall,Democrat
1895-01-01,WA,John Harte McGraw,Republican
1895-01-01,WV,William Alexander MacCorkle,Democrat
1895-01-01,WI,William H. Upham,Republican
1895-01-01,WY,William Alford Richards,Republican
1894-01-01,AL,William Calvin Oates,Democrat
1894-01-01,AR,William Meade Fishback,Democrat
1894-01-01,CA,Henry Harrison Markham,Republican
1894-01-01,CO,Davis Hanson Waite,Populist
1894-01-01,CT,Luzon Burritt Morris,Democrat
1894-01-01,DE,Robert John Reynolds,Democrat
1894-01-01,FL,Henry Laurens Mitchell,Democrat
1894-01-01,GA,William Yates Atkinson,Democrat
1894-01-01,ID,William John McConnell,Republican
1894-01-01,IL,John Peter Altgeld,Democrat
1894-01-01,IN,Claude Matthews,Democrat
1894-01-01,IA,Frank Darr Jackson,Republican
1894-01-01,KS,Lorenzo Dow Lewelling,Democrat
1894-01-01,KY,John Young Brown,Democratic
1894-01-01,LA,Murphy James Foster,Democrat
1894-01-01,ME,Henry B. Cleaves,Republican
1894-01-01,MD,Frank Brown,Democrat
1894-01-01,MA,Frederic Thomas Greenhalge,Republican
1894-01-01,MI,John Tyler Rich,Republican
1894-01-01,MN,Knute Nelson,Republican
1894-01-01,MS,John Marshall Stone,Democratic
1894-01-01,MO,William Joel Stone,Democratic
1894-01-01,MT,John Ezra Rickards,Republican
1894-01-01,NE,Lorenzo Crounse,Republican
1894-01-01,NV,Roswell Keyes Colcord,Republican
1894-01-01,NH,John Butler Smith,Republican
1894-01-01,NJ,George Theodore Werts,Democratic
1894-01-01,NY,Roswell Pettibone Flower,Democratic
1894-01-01,NC,Elias Carr,Democratic
1894-01-01,ND,Eli C. D. Shortridge,Populist
1894-01-01,OH,William McKinley,Republican
1894-01-01,OR,Sylvester Pennoyer,Democratic
1894-01-01,PA,Robert Emory Pattison,Democrat
1894-01-01,RI,Daniel Russell Brown,Republican
1894-01-01,SC,John Gary Evans,Democrat
1894-01-01,SD,Charles Henry Sheldon,Republican
1894-01-01,TN,Peter Turney,Democrat
1894-01-01,TX,James Stephen Hogg,Democrat
1894-01-01,VT,Urban Andrain Woodbury,Republican
1894-01-01,VA,Charles Triplett O'Ferrall,Democrat
1894-01-01,WA,John Harte McGraw,Republican
1894-01-01,WV,William Alexander MacCorkle,Democrat
1894-01-01,WI,George W. Peck,Democrat
1894-01-01,WY,John Eugene Osborne,Democrat
1893-01-01,AL,Thomas Goode Jones,Democrat
1893-01-01,AR,William Meade Fishback,Democrat
1893-01-01,CA,Henry Harrison Markham,Republican
1893-01-01,CO,Davis Hanson Waite,Populist
1893-01-01,CT,Luzon Burritt Morris,Democrat
1893-01-01,DE,Robert John Reynolds,Democrat
1893-01-01,FL,Henry Laurens Mitchell,Democrat
1893-01-01,GA,William Jonathan Northen,Democrat
1893-01-01,ID,William John McConnell,Republican
1893-01-01,IL,John Peter Altgeld,Democrat
1893-01-01,IN,Claude Matthews,Democrat
1893-01-01,IA,Horace Boies,Democrat
1893-01-01,KS,Lorenzo Dow Lewelling,Democrat
1893-01-01,KY,John Young Brown,Democratic
1893-01-01,LA,Murphy James Foster,Democrat
1893-01-01,ME,Henry B. Cleaves,Republican
1893-01-01,MD,Frank Brown,Democrat
1893-01-01,MA,William Eustis Russell,Democrat
1893-01-01,MI,John Tyler Rich,Republican
1893-01-01,MN,Knute Nelson,Republican
1893-01-01,MS,John Marshall Stone,Democratic
1893-01-01,MO,William Joel Stone,Democratic
1893-01-01,MT,John Ezra Rickards,Republican
1893-01-01,NE,Lorenzo Crounse,Republican
1893-01-01,NV,Roswell Keyes Colcord,Republican
1893-01-01,NH,John Butler Smith,Republican
1893-01-01,NJ,George Theodore Werts,Democratic
1893-01-01,NY,Roswell Pettibone Flower,Democratic
1893-01-01,NC,Elias Carr,Democratic
1893-01-01,ND,Eli C. D. Shortridge,Populist
1893-01-01,OH,William McKinley,Republican
1893-01-01,OR,Sylvester Pennoyer,Democratic
1893-01-01,PA,Robert Emory Pattison,Democrat
1893-01-01,RI,Daniel Russell Brown,Republican
1893-01-01,SC,Benjamin Ryan Tillman,Democrat
1893-01-01,SD,Charles Henry Sheldon,Republican
1893-01-01,TN,Peter Turney,Democrat
1893-01-01,TX,James Stephen Hogg,Democrat
1893-01-01,VT,Levi Knight Fuller,Republican
1893-01-01,VA,Philip Watkins McKinney,Democrat
1893-01-01,WA,John Harte McGraw,Republican
1893-01-01,WV,William Alexander MacCorkle,Democrat
1893-01-01,WI,George W. Peck,Democrat
1893-01-01,WY,John Eugene Osborne,Democrat
1892-01-01,AL,Thomas Goode Jones,Democrat
1892-01-01,AR,James Philip Eagle,Democrat
1892-01-01,CA,Henry Harrison Markham,Republican
1892-01-01,CO,John Long Routt,Republican
1892-01-01,CT,Morgan Gardner Bulkeley,Republican
1892-01-01,DE,Robert John Reynolds,Democrat
1892-01-01,FL,Francis Philip Fleming,Democrat
1892-01-01,GA,William Jonathan Northen,Democrat
1892-01-01,ID,Norman Bushnell Willey,Republican
1892-01-01,IL,Joseph Wilson Fifer,Republican
1892-01-01,IN,Ira Joy Chase,Republican
1892-01-01,IA,Horace Boies,Democrat
1892-01-01,KS,Lyman Underwood Humphrey,Republican
1892-01-01,KY,John Young Brown,Democratic
1892-01-01,LA,Murphy James Foster,Democrat
1892-01-01,ME,Edwin Chick Burleigh,Republican
1892-01-01,MD,Frank Brown,Democrat
1892-01-01,MA,William Eustis Russell,Democrat
1892-01-01,MI,Edwin Baruch Winans,Democratic
1892-01-01,MN,William Rush Merriam,Republican
1892-01-01,MS,John Marshall Stone,Democratic
1892-01-01,MO,David Rowland Francis,Democratic
1892-01-01,MT,Joseph Kemp Toole,Democratic
1892-01-01,NE,James E. Boyd,Democratic
1892-01-01,NV,Roswell Keyes Colcord,Republican
1892-01-01,NH,Hiram Americus Tuttle,Republican
1892-01-01,NJ,Leon Abbett,Democratic
1892-01-01,NY,Roswell Pettibone Flower,Democratic
1892-01-01,NC,Thomas Michael Holt,Democratic
1892-01-01,ND,Andrew Horace Burke,Republican
1892-01-01,OH,William McKinley,Republican
1892-01-01,OR,Sylvester Pennoyer,Democratic
1892-01-01,PA,Robert Emory Pattison,Democrat
1892-01-01,RI,Daniel Russell Brown,Republican
1892-01-01,SC,Benjamin Ryan Tillman,Democrat
1892-01-01,SD,Arthur Calvin Mellette,Republican
1892-01-01,TN,John Price Buchanan,Farm-Labor
1892-01-01,TX,James Stephen Hogg,Democrat
1892-01-01,VT,Levi Knight Fuller,Republican
1892-01-01,VA,Philip Watkins McKinney,Democrat
1892-01-01,WA,Elisha Peyre Ferry,Republican
1892-01-01,WV,Aretas Brooks Fleming,Democrat
1892-01-01,WI,George W. Peck,Democrat
1892-01-01,WY,Amos Walker Barber,Republican
1891-01-01,AL,Thomas Goode Jones,Democrat
1891-01-01,AR,James Philip Eagle,Democrat
1891-01-01,CA,Henry Harrison Markham,Republican
1891-01-01,CO,John Long Routt,Republican
1891-01-01,CT,Morgan Gardner Bulkeley,Republican
1891-01-01,DE,Robert John Reynolds,Democrat
1891-01-01,FL,Francis Philip Fleming,Democrat
